Instance,OF,time
classe_1_140_112,2.0,0.162
classe_1_300_300,1.0,1.203
classe_1_40_32,3.0,0.029
classe_1_48_60,6.0,0.038
classe_2_144_180,1.0,0.493
classe_2_180_180,1.0,0.735
classe_2_280_224,1.0,1.85
classe_4_240_192,27.0,1.135
classe_4_240_240,2.0,1.03
classe_4_240_300,37.0,1.104
classe_5_192_240,2.0,1.064
classe_5_200_200,2.0,1.034
classe_5_80_64,3.0,0.171
classe_6_32_40,7.0,0.045
classe_6_40_32,2.0,0.054
classe_6_80_80,1.0,0.192
classe_7_224_280,37.0,1.979
classe_7_280_280,13.0,1.981
classe_7_300_300,5.0,1.83
classe_8_240_240,2.0,1.522
classe_8_300_240,2.0,2.484
classe_8_64_80,78.0,0.205
classe_9_180_144,74.0,1.566
classe_9_192_240,107.0,2.466
classe_9_200_200,81.0,2.363
classe_9_224_280,2.0,1.699
classe_9_240_192,97.0,3.32
