Instance,OF,time
classe_1_140_112,5.0,0.105
classe_1_300_300,3.0,0.538
classe_1_40_32,3.0,0.01
classe_1_48_60,6.0,0.013
classe_2_144_180,1.0,0.244
classe_2_180_180,1.0,0.41
classe_2_280_224,1.0,0.92
classe_4_240_192,33.0,0.172
classe_4_240_240,11.0,0.451
classe_4_240_300,40.0,0.189
classe_5_192_240,5.0,0.501
classe_5_200_200,6.0,0.488
classe_5_80_64,5.0,0.077
classe_6_32_40,7.0,0.015
classe_6_40_32,2.0,0.023
classe_6_80_80,1.0,0.097
classe_7_224_280,40.0,0.3
classe_7_280_280,29.0,0.51
classe_7_300_300,20.0,0.706
classe_8_240_240,11.0,0.671
classe_8_300_240,9.0,1.12
classe_8_64_80,78.0,0.046
classe_9_180_144,73.0,0.458
classe_9_192_240,108.0,0.525
classe_9_200_200,81.0,0.604
classe_9_224_280,3.0,0.829
classe_9_240_192,95.0,0.791
