Instance,OF,time
classe_1_140_112,1.0,0.098
classe_1_300_300,1.0,0.431
classe_1_40_32,2.0,0.011
classe_1_48_60,2.0,0.013
classe_2_144_180,1.0,0.221
classe_2_180_180,1.0,0.343
classe_2_280_224,1.0,0.652
classe_4_240_192,8.0,0.137
classe_4_240_240,2.0,0.347
classe_4_240_300,13.0,0.141
classe_5_192_240,2.0,0.379
classe_5_200_200,2.0,0.369
classe_5_80_64,3.0,0.061
classe_6_32_40,7.0,0.013
classe_6_40_32,1.0,0.02
classe_6_80_80,1.0,0.08
classe_7_224_280,9.0,0.222
classe_7_280_280,4.0,0.389
classe_7_300_300,2.0,0.547
classe_8_240_240,2.0,0.517
classe_8_300_240,3.0,0.83
classe_8_64_80,71.0,0.037
classe_9_180_144,49.0,0.337
classe_9_192_240,73.0,0.399
classe_9_200_200,54.0,0.445
classe_9_224_280,2.0,0.613
classe_9_240_192,60.0,0.587
