Instance,OF,time
classe_1_140_112,3.0,0.155
classe_1_300_300,1.0,1.184
classe_1_40_32,3.0,0.028
classe_1_48_60,6.0,0.036
classe_2_144_180,1.0,0.487
classe_2_180_180,1.0,0.722
classe_2_280_224,1.0,1.838
classe_4_240_192,29.0,1.213
classe_4_240_240,2.0,0.997
classe_4_240_300,39.0,1.161
classe_5_192_240,2.0,1.05
classe_5_200_200,2.0,1.032
classe_5_80_64,4.0,0.166
classe_6_32_40,7.0,0.047
classe_6_40_32,2.0,0.052
classe_6_80_80,1.0,0.188
classe_7_224_280,36.0,2.114
classe_7_280_280,11.0,1.772
classe_7_300_300,5.0,1.791
classe_8_240_240,3.0,1.527
classe_8_300_240,3.0,2.48
classe_8_64_80,78.0,0.231
classe_9_180_144,74.0,1.753
classe_9_192_240,107.0,2.725
classe_9_200_200,81.0,2.682
classe_9_224_280,2.0,1.669
classe_9_240_192,96.0,3.516
