Instance,OF,time
classe_1_140_112,5.0,0.179
classe_1_300_300,3.0,1.431
classe_1_40_32,3.0,0.031
classe_1_48_60,6.0,0.038
classe_2_144_180,1.0,0.556
classe_2_180_180,1.0,0.847
classe_2_280_224,1.0,2.097
classe_4_240_192,33.0,0.574
classe_4_240_240,12.0,1.178
classe_4_240_300,41.0,0.609
classe_5_192_240,5.0,1.277
classe_5_200_200,6.0,1.19
classe_5_80_64,5.0,0.181
classe_6_32_40,7.0,0.037
classe_6_40_32,2.0,0.055
classe_6_80_80,1.0,0.206
classe_7_224_280,42.0,0.914
classe_7_280_280,30.0,1.588
classe_7_300_300,21.0,2.135
classe_8_240_240,12.0,1.763
classe_8_300_240,9.0,2.857
classe_8_64_80,78.0,0.126
classe_9_180_144,73.0,1.101
classe_9_192_240,108.0,1.612
classe_9_200_200,81.0,1.512
classe_9_224_280,3.0,1.893
classe_9_240_192,94.0,1.924
