Instance,OF,time
classe_1_140_112,5.0,0.083
classe_1_300_300,3.0,0.202
classe_1_40_32,3.0,0.004
classe_1_48_60,6.0,0.005
classe_2_144_180,1.0,0.093
classe_2_180_180,1.0,0.153
classe_2_280_224,1.0,0.319
classe_4_240_192,30.0,0.068
classe_4_240_240,12.0,0.169
classe_4_240_300,37.0,0.064
classe_5_192_240,5.0,0.165
classe_5_200_200,6.0,0.162
classe_5_80_64,5.0,0.03
classe_6_32_40,7.0,0.007
classe_6_40_32,2.0,0.011
classe_6_80_80,1.0,0.039
classe_7_224_280,37.0,0.115
classe_7_280_280,28.0,0.185
classe_7_300_300,20.0,0.255
classe_8_240_240,11.0,0.229
classe_8_300_240,9.0,0.365
classe_8_64_80,78.0,0.017
classe_9_180_144,73.0,0.15
classe_9_192_240,107.0,0.182
classe_9_200_200,81.0,0.202
classe_9_224_280,2.0,0.277
classe_9_240_192,94.0,0.264
